# Rime user dictionary
#@/db_name	jyut6ping3
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6354
#@/user_id	ad4735de-f6a4-47fe-aa8e-4a1a80cb8225
daai6 koi3 	大概	c=6 d=0.0187793 t=6354
daai6 lap1 	大粒	c=1 d=8.72054e-08 t=6354
daai6 lap1 je5 	大粒嘢	c=1 d=1.77405e-09 t=6354
daai6 loeng6 	大量	c=1 d=1.44897e-10 t=6354
daai6 luk6 	大陸	c=1 d=2.60673e-07 t=6354
daai6 si1 	大師	c=1 d=3.4059e-06 t=6354
daai6 teoi2 	大腿	c=1 d=7.83104e-07 t=6354
daai6 wok6 	大獲	c=1 d=3.06851e-14 t=6354
daai6 wok6 	大鑊	c=4 d=3.58919e-05 t=6354
daai6 wui2 	大會	c=1 d=0.000742862 t=6354
daai6 zaak2 	大宅	c=2 d=0.00367145 t=6354
daai6 zin3 	大戰	c=2 d=0.0338248 t=6354
daan1 	單	c=4 d=0.56001 t=6354
daan1 ce1 	單車	c=1 d=0.00018046 t=6354
daan1 hai6 	單系	c=1 d=1.23792e-11 t=6354
daan1 san1 gau2 	單身狗	c=1 d=0.00134011 t=6354
daan1 wai2 	單位	c=1 d=1.34752e-09 t=6354
daan2 	蛋	c=0 d=9.02818e-05 t=6354
daan6 	但	c=2 d=0.00109172 t=6354
daan6 	彈	c=1 d=0.000126534 t=6354
daan6 hai2 	但喺	c=9 d=0.103988 t=6354
daap3 	答	c=2 d=0.613602 t=6354
daap3 jing3 	答應	c=1 d=0.000796726 t=6354
daap3 on3 	答案	c=4 d=7.42352e-07 t=6354
daat6 jan4 	達人	c=1 d=7.49028e-13 t=6354
dai1 	低	c=2 d=0.0134335 t=6354
dai2 zuk1 	牴觸	c=0 d=2.60806e-14 t=6354
dai2 zuk1 hei2 kek6 	牴觸喜劇	c=1 d=2.62113e-13 t=6354
dai6 	第	c=3 d=0.0265535 t=6354
dai6 jat1 	第一	c=2 d=1.01986e-08 t=6354
dai6 jat1 ci3 	第一次	c=1 d=0.0958472 t=6354
dai6 jat1 go3 	第一個	c=2 d=7.80733e-12 t=6354
dai6 jat1 haa6 	第一下	c=1 d=4.57534e-08 t=6354
dai6 jat1 jat1 	第一一	c=1 d=5.23664e-08 t=6354
dai6 jat1 loeng6 	第一輛	c=1 d=0.0893673 t=6354
dai6 jat1 tong4 	第一堂	c=1 d=2.23936e-14 t=6354
dai6 si4 	第時	c=1 d=2.30082e-09 t=6354
dak1 	得	c=18 d=1.94794 t=6354
dak1 go2 	得嗰	c=1 d=0.00196945 t=6354
dak1 haan4 	得閒	c=7 d=0.00071122 t=6354
dak1 laa1 	得啦	c=1 d=8.9167e-05 t=6354
dak1 m4 dak1 	得唔得	c=1 d=0.0426384 t=6354
dak1 m4 dak1 haan4 	得唔得閒	c=4 d=0.0526026 t=6354
dak6 bit6 	特別	c=1 d=1.56506e-05 t=6354
dang1 	登	c=2 d=0.0315873 t=6354
dang2 	等	c=10 d=0.00676066 t=6354
dang2 jyu1 	等於	c=1 d=0.980199 t=6354
dang6 zi2 kei4 	鄧紫棋	c=5 d=6.9867e-07 t=6354
dap6 	揼	c=1 d=6.72398e-08 t=6354
dat6 bit6 	突別	c=1 d=3.01399e-09 t=6354
dat6 hin2 	凸顯	c=1 d=2.07078e-05 t=6354
dat6 jin4 	突然	c=3 d=1.14487 t=6354
dat6 jin4 gaan1 	突然間	c=1 d=0.286505 t=6354
dei6 	地	c=7 d=0.0191589 t=6354
dei6 fong1 	地方	c=5 d=0.00132192 t=6354
dei6 fu2 	地府	c=1 d=1.2625e-07 t=6354
dei6 fu3 	地庫	c=1 d=1.27519e-07 t=6354
deng2 	頂	c=0 d=1.10592e-09 t=6354
deoi2 zau2 	隊酒	c=1 d=5.43536e-05 t=6354
deoi3 	對	c=4 d=0.00193947 t=6354
deoi3 min6 	對面	c=1 d=1.19494e-07 t=6354
di1 	啲	c=83 d=3.2206 t=6354
di1 je5 	啲嘢	c=1 d=2.10279e-09 t=6354
dik1 	的	c=6 d=0.264653 t=6354
dik1 kok3 	的確	c=1 d=0.0115047 t=6354
dik6 si6 nei4 	迪士尼	c=1 d=1.6169e-06 t=6354
dim2 	點	c=36 d=0.108361 t=6354
dim2 gaai2 	點解	c=10 d=0.1431 t=6354
dim2 gaai2 aa2 	點解啊	c=1 d=0.0141931 t=6354
dim2 joeng2 	點樣	c=1 d=7.23266e-13 t=6354
dim2 wui2 jau5 	點會有	c=1 d=2.09701e-06 t=6354
dim2 zi1 	點知	c=2 d=1.9586e-09 t=6354
din1 	癲	c=6 d=0.239481 t=6354
din2 jing4 	典型	c=1 d=2.63337e-09 t=6354
din6 nou5 	電腦	c=1 d=0.0739031 t=6354
din6 waa2 	電話	c=3 d=4.07309e-09 t=6354
ding2 	頂	c=1 d=0.000236397 t=6354
ding6 	定	c=10 d=0.0246539 t=6354
ding6 hai6 	定係	c=12 d=0.000236375 t=6354
ding6 hai6 m4 zi1 	定係唔知	c=1 d=1.92613e-06 t=6354
ding6 kei4 	定期	c=1 d=9.75642e-05 t=6354
diu1 naa5 sing1 	丟那星	c=1 d=3.24145e-12 t=6354
diu2 	屌	c=8 d=1.28098 t=6354
diu2 daa2 	屌打	c=1 d=1.13392e-08 t=6354
diu2 nei5 lou5 mou2 	屌你老母	c=1 d=4.30963e-10 t=6354
diu6 	掉	c=2 d=0.235746 t=6354
do1 	多	c=8 d=3.60515e-05 t=6354
do1 di1 	多啲	c=3 d=0.0111647 t=6354
do1 jan4 	多人	c=1 d=0.818731 t=6354
do1 leon4 do1 	多倫多	c=2 d=0.0023461 t=6354
do1 nin4 	多年	c=1 d=0.000773179 t=6354
do1 wai6 	多位	c=1 d=3.70101e-13 t=6354
do6 toi4 	墮台	c=1 d=0.00109719 t=6354
dong1 hai6 	當系	c=1 d=0.0675424 t=6354
dong1 jin4 	當然	c=1 d=2.07649e-08 t=6354
dong1 nin4 	當年	c=3 d=0.110803 t=6354
dong3 	當	c=1 d=3.33846e-06 t=6354
dou1 	都	c=42 d=2.04671 t=6354
dou1 dak1 	都得	c=1 d=5.95128e-13 t=6354
dou1 giu3 	都叫	c=1 d=3.51023e-08 t=6354
dou1 hai6 	都係	c=21 d=0.137541 t=6354
dou1 ho2 ji5 	都可以	c=1 d=3.63712e-14 t=6354
dou1 jau5 	都有	c=4 d=6.1612e-05 t=6354
dou1 jiu3 	都要	c=2 d=1.32575e-08 t=6354
